id_cliente,fecha_registro,edad,segmento
CUST_00001,2023-04-30,51,Regular
CUST_00002,2023-10-17,22,Budget
CUST_00003,2023-06-09,57,Regular
CUST_00004,2022-08-31,20,Budget
CUST_00005,2023-11-13,19,Budget
CUST_00006,2022-01-28,35,Premium
CUST_00007,2022-11-27,21,Budget
CUST_00008,2023-04-18,49,Regular
CUST_00009,2023-01-20,54,Regular
CUST_00010,2023-09-25,23,Budget
CUST_00011,2022-12-25,32,Premium
CUST_00012,2023-10-11,20,Budget
CUST_00013,2022-08-22,54,Regular
CUST_00014,2023-01-09,36,Regular
CUST_00015,2022-08-21,25,Budget
CUST_00016,2023-05-25,33,Regular
CUST_00017,2022-04-23,24,Regular
CUST_00018,2022-03-22,25,Budget
CUST_00019,2023-10-04,19,Budget
CUST_00020,2022-08-13,44,Regular
CUST_00021,2022-02-22,23,Regular
CUST_00022,2023-12-11,53,Regular
CUST_00023,2023-03-15,21,Budget
CUST_00024,2022-10-21,38,Regular
CUST_00025,2022-07-17,55,Regular
CUST_00026,2022-05-24,69,Regular
CUST_00027,2023-04-09,35,Premium
CUST_00028,2023-02-07,21,Budget
CUST_00029,2022-05-28,40,Regular
CUST_00030,2023-10-02,62,Regular
CUST_00031,2023-10-03,61,Regular
CUST_00032,2022-05-31,46,Regular
CUST_00033,2023-09-03,63,Regular
CUST_00034,2022-12-12,25,Budget
CUST_00035,2022-10-31,31,Premium
CUST_00036,2022-02-06,34,Premium
CUST_00037,2022-08-21,38,Premium
CUST_00038,2022-07-27,69,Regular
CUST_00039,2022-02-23,53,Premium
CUST_00040,2023-09-20,45,Regular
CUST_00041,2023-02-24,25,Budget
CUST_00042,2022-09-11,49,Premium
CUST_00043,2023-04-18,23,Budget
CUST_00044,2022-12-04,50,Regular
CUST_00045,2023-12-21,56,Regular
CUST_00046,2023-08-03,62,Premium
CUST_00047,2023-05-19,22,Budget
CUST_00048,2022-07-14,28,Regular
CUST_00049,2023-11-19,54,Regular
CUST_00050,2023-04-15,20,Budget
CUST_00051,2023-11-01,23,Budget
CUST_00052,2022-10-10,37,Premium
CUST_00053,2023-09-01,42,Regular
CUST_00054,2023-03-29,54,Regular
CUST_00055,2023-10-21,25,Budget
CUST_00056,2022-06-21,38,Regular
CUST_00057,2022-02-15,58,Premium
CUST_00058,2022-02-06,64,Premium
CUST_00059,2022-04-09,60,Premium
CUST_00060,2022-06-10,50,Premium
CUST_00061,2023-07-20,39,Regular
CUST_00062,2023-11-17,61,Regular
CUST_00063,2023-10-25,25,Budget
CUST_00064,2023-05-05,20,Budget
CUST_00065,2022-04-14,46,Premium
CUST_00066,2022-09-03,64,Regular
CUST_00067,2023-11-13,50,Regular
CUST_00068,2023-02-12,64,Premium
CUST_00069,2022-02-05,36,Premium
CUST_00070,2023-05-27,22,Regular
CUST_00071,2023-04-16,35,Regular
CUST_00072,2023-12-28,19,Budget
CUST_00073,2023-11-29,46,Regular
CUST_00074,2022-11-10,43,Regular
CUST_00075,2022-02-23,35,Premium
CUST_00076,2022-09-21,58,Regular
CUST_00077,2023-09-12,65,Regular
CUST_00078,2022-12-16,25,Regular
CUST_00079,2023-10-18,61,Regular
CUST_00080,2023-10-21,59,Premium
CUST_00081,2023-08-27,40,Regular
CUST_00082,2023-04-19,47,Regular
CUST_00083,2022-05-07,52,Premium
CUST_00084,2022-02-27,22,Regular
CUST_00085,2022-04-06,63,Premium
CUST_00086,2023-08-24,69,Regular
CUST_00087,2022-09-29,22,Regular
CUST_00088,2022-09-04,26,Regular
CUST_00089,2023-10-18,19,Budget
CUST_00090,2023-11-28,23,Budget
CUST_00091,2022-03-10,49,Regular
CUST_00092,2023-03-29,23,Budget
CUST_00093,2023-04-19,47,Regular
CUST_00094,2023-09-04,60,Regular
CUST_00095,2022-12-23,23,Budget
CUST_00096,2022-04-10,31,Regular
CUST_00097,2023-10-21,24,Budget
CUST_00098,2022-11-21,22,Regular
CUST_00099,2022-12-02,37,Regular
CUST_00100,2022-06-09,49,Regular
CUST_00101,2023-11-21,53,Premium
CUST_00102,2023-11-22,54,Regular
CUST_00103,2023-07-31,41,Premium
CUST_00104,2022-02-12,39,Premium
CUST_00105,2022-01-12,22,Budget
CUST_00106,2022-09-10,19,Budget
CUST_00107,2023-12-28,20,Budget
CUST_00108,2023-08-28,25,Budget
CUST_00109,2023-02-22,55,Premium
CUST_00110,2022-07-15,24,Budget
CUST_00111,2022-03-16,66,Regular
CUST_00112,2022-10-04,54,Premium
CUST_00113,2023-04-02,39,Premium
CUST_00114,2023-11-20,56,Regular
CUST_00115,2022-04-06,57,Regular
CUST_00116,2022-02-06,53,Regular
CUST_00117,2023-06-09,24,Budget
CUST_00118,2022-09-30,56,Regular
CUST_00119,2023-12-30,41,Regular
CUST_00120,2022-06-26,40,Regular
CUST_00121,2022-08-21,22,Budget
CUST_00122,2023-03-31,38,Premium
CUST_00123,2023-01-19,60,Premium
CUST_00124,2022-05-24,68,Regular
CUST_00125,2023-01-31,56,Regular
CUST_00126,2023-04-29,42,Regular
CUST_00127,2023-07-23,45,Premium
CUST_00128,2022-02-11,22,Budget
CUST_00129,2022-08-11,43,Premium
CUST_00130,2022-08-03,20,Budget
CUST_00131,2023-10-20,32,Regular
CUST_00132,2022-03-15,38,Premium
CUST_00133,2022-09-10,46,Premium
CUST_00134,2022-06-17,42,Premium
CUST_00135,2023-09-26,19,Budget
CUST_00136,2022-06-14,22,Budget
CUST_00137,2023-05-11,25,Budget
CUST_00138,2023-05-15,51,Premium
CUST_00139,2022-08-05,24,Budget
CUST_00140,2022-03-11,57,Regular
CUST_00141,2023-03-21,40,Regular
CUST_00142,2022-04-01,60,Regular
CUST_00143,2022-02-08,20,Budget
CUST_00144,2023-10-15,66,Regular
CUST_00145,2023-04-21,41,Regular
CUST_00146,2022-01-01,62,Regular
CUST_00147,2022-07-09,49,Regular
CUST_00148,2022-04-27,46,Regular
