fecha_inicio,fecha_fin,id_producto,tipo_descuento,id_tienda
2024-02-07,2024-02-18,PROD_034,Fixed_Amount,STORE_06
2024-02-07,2024-02-18,PROD_034,Fixed_Amount,STORE_08
2024-02-07,2024-02-18,PROD_034,Fixed_Amount,STORE_10
2024-02-18,2024-02-22,PROD_031,Fixed_Amount,STORE_03
2024-02-18,2024-02-22,PROD_031,Fixed_Amount,STORE_09
2024-03-13,2024-03-22,PROD_041,Percentage,STORE_06
2024-03-13,2024-03-22,PROD_041,Percentage,STORE_07
2024-02-04,2024-02-13,PROD_039,2x1,STORE_03
2024-02-04,2024-02-13,PROD_039,2x1,STORE_01
2024-02-04,2024-02-13,PROD_039,2x1,STORE_07
2024-02-04,2024-02-13,PROD_039,2x1,STORE_09
2024-01-07,2024-01-18,PROD_030,Percentage,STORE_01
2024-01-07,2024-01-18,PROD_030,Percentage,STORE_08
2024-01-30,2024-02-13,PROD_032,Percentage,STORE_07
2024-01-30,2024-02-13,PROD_032,Percentage,STORE_06
2024-02-19,2024-03-02,PROD_039,2x1,STORE_03
2024-03-14,2024-03-27,PROD_006,2x1,STORE_08
2024-03-14,2024-03-27,PROD_006,2x1,STORE_05
2024-01-02,2024-01-05,PROD_010,Fixed_Amount,STORE_01
2024-01-02,2024-01-05,PROD_010,Fixed_Amount,STORE_09
2024-01-02,2024-01-05,PROD_010,Fixed_Amount,STORE_06
2024-01-02,2024-01-05,PROD_010,Fixed_Amount,STORE_08
2024-02-10,2024-02-19,PROD_046,Percentage,STORE_04
2024-03-05,2024-03-10,PROD_037,2x1,STORE_07
2024-03-05,2024-03-10,PROD_037,2x1,STORE_01
2024-03-05,2024-03-10,PROD_037,2x1,STORE_10
2024-03-05,2024-03-10,PROD_037,2x1,STORE_02
2024-01-12,2024-01-16,PROD_040,Percentage,STORE_01
2024-01-28,2024-02-11,PROD_047,Fixed_Amount,STORE_06
2024-01-28,2024-02-11,PROD_047,Fixed_Amount,STORE_08
2024-01-28,2024-02-11,PROD_047,Fixed_Amount,STORE_10
2024-01-28,2024-02-11,PROD_047,Fixed_Amount,STORE_03
2024-03-23,2024-03-30,PROD_040,Percentage,STORE_03
2024-03-23,2024-03-30,PROD_040,Percentage,STORE_06
2024-03-23,2024-03-30,PROD_040,Percentage,STORE_02
2024-02-09,2024-02-17,PROD_022,Fixed_Amount,STORE_04
2024-02-09,2024-02-17,PROD_022,Fixed_Amount,STORE_01
2024-02-17,2024-03-02,PROD_031,2x1,STORE_06
2024-02-17,2024-03-02,PROD_031,2x1,STORE_09
2024-01-31,2024-02-14,PROD_026,2x1,STORE_07
2024-01-31,2024-02-14,PROD_026,2x1,STORE_02
2024-03-04,2024-03-14,PROD_033,Fixed_Amount,STORE_07
2024-03-04,2024-03-14,PROD_033,Fixed_Amount,STORE_01
2024-03-04,2024-03-14,PROD_033,Fixed_Amount,STORE_04
2024-03-04,2024-03-14,PROD_033,Fixed_Amount,STORE_02
