id_ticket,id_tienda,timestamp,total_venta,total_articulos,id_cliente
TICKET_0000001,STORE_10,2024-03-31 14:27:00,3.61,1,CUST_00647
TICKET_0000002,STORE_05,2024-03-22 13:51:00,38.4,4,CUST_00500
TICKET_0000003,STORE_07,2024-02-18 13:00:00,41.32,4,CUST_00977
TICKET_0000004,STORE_03,2024-02-23 19:39:00,2.97,1,CUST_00866
TICKET_0000005,STORE_05,2024-03-06 11:42:00,23.95,2,CUST_00846
TICKET_0000006,STORE_04,2024-03-13 17:07:00,14.38,2,CUST_00678
TICKET_0000007,STORE_08,2024-02-25 16:48:00,22.55,3,CUST_00741
TICKET_0000008,STORE_02,2024-01-18 15:09:00,25.56,3,CUST_00838
TICKET_0000009,STORE_03,2024-02-20 14:53:00,20.47,2,CUST_00249
TICKET_0000010,STORE_08,2024-01-11 19:23:00,12.79,2,CUST_00537
TICKET_0000011,STORE_01,2024-03-14 08:57:00,9.55,1,CUST_00210
TICKET_0000012,STORE_06,2024-02-20 12:03:00,9.46,2,CUST_00141
TICKET_0000013,STORE_10,2024-01-04 13:35:00,13.43,2,CUST_00150
TICKET_0000014,STORE_03,2024-02-12 18:50:00,5.01,1,CUST_00945
TICKET_0000015,STORE_09,2024-03-13 15:11:00,15.77,3,CUST_00533
TICKET_0000016,STORE_02,2024-02-26 15:32:00,14.33,2,CUST_00026
TICKET_0000017,STORE_07,2024-02-04 17:54:00,7.97,2,CUST_00591
TICKET_0000018,STORE_08,2024-02-08 14:50:00,18.56,2,CUST_00044
TICKET_0000019,STORE_09,2024-03-03 13:04:00,26.12,2,CUST_00839
TICKET_0000020,STORE_07,2024-03-03 17:21:00,9.95,1,CUST_00330
TICKET_0000021,STORE_03,2024-01-05 20:26:00,56.07,6,CUST_00261
TICKET_0000022,STORE_05,2024-01-26 17:31:00,29.76,3,CUST_00292
TICKET_0000023,STORE_10,2024-01-14 13:22:00,14.75,3,CUST_00964
TICKET_0000024,STORE_01,2024-03-10 12:30:00,14.54,3,CUST_00314
TICKET_0000025,STORE_02,2024-03-29 12:47:00,10.43,2,CUST_00586
TICKET_0000026,STORE_04,2024-01-04 17:55:00,3.4,1,CUST_00001
TICKET_0000027,STORE_06,2024-01-12 20:51:00,24.09,2,CUST_00597
TICKET_0000028,STORE_05,2024-02-10 18:57:00,38.25,4,CUST_00316
TICKET_0000029,STORE_08,2024-01-07 08:04:00,3.07,1,CUST_00569
TICKET_0000030,STORE_09,2024-02-09 15:04:00,11.92,2,CUST_00965
TICKET_0000031,STORE_10,2024-03-23 21:19:00,7.7,2,CUST_00714
TICKET_0000032,STORE_04,2024-02-27 08:07:00,12.58,2,CUST_00128
TICKET_0000033,STORE_04,2024-01-25 18:15:00,10.28,1,CUST_00229
TICKET_0000034,STORE_07,2024-02-07 19:10:00,23.6,3,CUST_00168
TICKET_0000035,STORE_05,2024-02-08 21:57:00,34.66,4,CUST_00573
TICKET_0000036,STORE_05,2024-03-18 09:34:00,19.55,4,CUST_00415
TICKET_0000037,STORE_06,2024-02-28 19:37:00,20.3,2,CUST_00189
TICKET_0000038,STORE_02,2024-03-30 16:37:00,11.82,3,CUST_00733
TICKET_0000039,STORE_01,2024-02-28 16:27:00,35.78,4,CUST_00816
TICKET_0000040,STORE_04,2024-01-05 11:41:00,13.22,1,CUST_00694
TICKET_0000041,STORE_01,2024-02-06 18:03:00,12.54,2,CUST_00764
TICKET_0000042,STORE_07,2024-02-17 10:09:00,15.46,2,CUST_00555
TICKET_0000043,STORE_02,2024-03-14 21:37:00,2.97,1,CUST_00247
TICKET_0000044,STORE_04,2024-02-11 10:25:00,24.41,2,CUST_00584
TICKET_0000045,STORE_03,2024-02-29 13:12:00,15.58,2,CUST_00922
TICKET_0000046,STORE_02,2024-01-16 18:01:00,25.07,4,CUST_00085
TICKET_0000047,STORE_08,2024-02-25 15:04:00,18.16,2,CUST_00137
TICKET_0000048,STORE_08,2024-02-14 19:12:00,42.06,3,CUST_00913
TICKET_0000049,STORE_04,2024-01-17 19:58:00,10.2,1,CUST_00439
TICKET_0000050,STORE_04,2024-02-07 14:46:00,26.78,3,CUST_00551
TICKET_0000051,STORE_03,2024-03-12 13:04:00,13.61,1,CUST_00087
TICKET_0000052,STORE_05,2024-03-20 11:04:00,23.15,2,CUST_00962
TICKET_0000053,STORE_04,2024-01-26 16:31:00,8.93,1,CUST_00643
TICKET_0000054,STORE_06,2024-02-12 20:01:00,29.58,3,CUST_00520
TICKET_0000055,STORE_04,2024-02-03 15:46:00,19.13,3,CUST_00748
TICKET_0000056,STORE_05,2024-01-23 14:15:00,14.78,2,CUST_00391
TICKET_0000057,STORE_06,2024-03-25 12:29:00,21.75,3,CUST_00237
TICKET_0000058,STORE_07,2024-03-15 15:27:00,23.08,5,CUST_00421
TICKET_0000059,STORE_03,2024-03-31 11:59:00,3.07,1,CUST_00691
TICKET_0000060,STORE_06,2024-03-17 16:16:00,6.06,1,CUST_00044
