fecha,id_tienda,clima,competitor_price_index,indice_trafico
2024-01-01,STORE_01,Sunny,1.01,85.6
2024-01-01,STORE_02,Sunny,1.01,49.5
2024-01-01,STORE_03,Sunny,1.03,55.2
2024-01-01,STORE_04,Sunny,1.0,80.6
2024-01-01,STORE_05,Sunny,0.99,83.0
2024-01-01,STORE_06,Sunny,1.06,83.1
2024-01-01,STORE_07,Sunny,0.85,90.9
2024-01-01,STORE_08,Sunny,1.01,56.6
2024-01-01,STORE_09,Sunny,0.98,49.8
2024-01-01,STORE_10,Sunny,1.05,61.2
2024-01-02,STORE_01,Cloudy,0.96,70.9
2024-01-02,STORE_02,Cloudy,0.97,61.5
2024-01-02,STORE_03,Cloudy,0.97,41.1
2024-01-02,STORE_04,Cloudy,1.04,69.6
2024-01-02,STORE_05,Cloudy,1.04,90.2
2024-01-02,STORE_06,Cloudy,0.97,89.2
2024-01-02,STORE_07,Cloudy,1.06,92.0
2024-01-02,STORE_08,Cloudy,1.02,55.8
2024-01-02,STORE_09,Cloudy,1.01,42.3
2024-01-02,STORE_10,Cloudy,1.0,41.8
2024-01-03,STORE_01,Sunny,0.99,68.2
2024-01-03,STORE_02,Sunny,0.98,42.1
2024-01-03,STORE_03,Sunny,1.01,31.1
2024-01-03,STORE_04,Sunny,0.96,75.0
2024-01-03,STORE_05,Sunny,1.05,91.6
2024-01-03,STORE_06,Sunny,0.96,68.9
2024-01-03,STORE_07,Sunny,0.95,77.3
2024-01-03,STORE_08,Sunny,0.99,58.3
2024-01-03,STORE_09,Sunny,0.9,47.4
2024-01-03,STORE_10,Sunny,0.94,56.4
2024-01-04,STORE_01,Rainy,1.06,58.5
2024-01-04,STORE_02,Rainy,1.02,41.5
2024-01-04,STORE_03,Rainy,1.05,50.1
2024-01-04,STORE_04,Rainy,0.94,96.9
2024-01-04,STORE_05,Rainy,1.01,78.5
2024-01-04,STORE_06,Rainy,1.04,73.9
2024-01-04,STORE_07,Rainy,1.03,93.4
2024-01-04,STORE_08,Rainy,1.07,52.4
2024-01-04,STORE_09,Rainy,1.0,38.4
2024-01-04,STORE_10,Rainy,1.04,42.6
2024-01-05,STORE_01,Sunny,0.98,68.1
2024-01-05,STORE_02,Sunny,1.01,44.8
2024-01-05,STORE_03,Sunny,1.06,41.8
2024-01-05,STORE_04,Sunny,1.0,75.0
2024-01-05,STORE_05,Sunny,1.01,81.7
2024-01-05,STORE_06,Sunny,0.96,93.3
2024-01-05,STORE_07,Sunny,0.98,78.4
2024-01-05,STORE_08,Sunny,0.96,36.5
2024-01-05,STORE_09,Sunny,1.04,45.2
2024-01-05,STORE_10,Sunny,1.01,52.6
2024-01-06,STORE_01,Sunny,1.04,27.7
2024-01-06,STORE_02,Sunny,1.1,69.3
2024-01-06,STORE_03,Sunny,0.93,85.7
2024-01-06,STORE_04,Sunny,0.96,35.2
2024-01-06,STORE_05,Sunny,1.0,21.9
2024-01-06,STORE_06,Sunny,1.05,9.4
2024-01-06,STORE_07,Sunny,0.99,22.0
2024-01-06,STORE_08,Sunny,1.01,65.6
2024-01-06,STORE_09,Sunny,0.99,74.1
2024-01-06,STORE_10,Sunny,1.0,41.7
2024-01-07,STORE_01,Sunny,0.94,24.5
2024-01-07,STORE_02,Sunny,0.99,64.9
2024-01-07,STORE_03,Sunny,1.07,65.5
2024-01-07,STORE_04,Sunny,1.02,33.3
2024-01-07,STORE_05,Sunny,0.94,26.2
2024-01-07,STORE_06,Sunny,1.0,30.4
2024-01-07,STORE_07,Sunny,0.95,26.7
2024-01-07,STORE_08,Sunny,1.04,54.5
2024-01-07,STORE_09,Sunny,0.95,73.8
2024-01-07,STORE_10,Sunny,1.06,61.3
2024-01-08,STORE_01,Cloudy,0.96,90.5
2024-01-08,STORE_02,Cloudy,0.99,51.9
2024-01-08,STORE_03,Cloudy,0.93,41.2
2024-01-08,STORE_04,Cloudy,1.01,57.6
2024-01-08,STORE_05,Cloudy,0.94,69.7
2024-01-08,STORE_06,Cloudy,0.87,82.8
2024-01-08,STORE_07,Cloudy,0.88,92.8
2024-01-08,STORE_08,Cloudy,1.0,49.2
2024-01-08,STORE_09,Cloudy,1.0,55.4
2024-01-08,STORE_10,Cloudy,1.01,70.2
2024-01-09,STORE_01,Sunny,1.04,82.2
2024-01-09,STORE_02,Sunny,1.0,54.4
2024-01-09,STORE_03,Sunny,1.03,56.7
2024-01-09,STORE_04,Sunny,0.97,71.5
2024-01-09,STORE_05,Sunny,1.08,86.0
2024-01-09,STORE_06,Sunny,0.93,72.6
2024-01-09,STORE_07,Sunny,1.0,86.6
2024-01-09,STORE_08,Sunny,1.01,51.7
2024-01-09,STORE_09,Sunny,1.07,47.8
2024-01-09,STORE_10,Sunny,0.96,34.0
2024-01-10,STORE_01,Sunny,0.96,67.6
2024-01-10,STORE_02,Sunny,0.99,66.7
2024-01-10,STORE_03,Sunny,1.0,43.0
2024-01-10,STORE_04,Sunny,1.0,80.4
2024-01-10,STORE_05,Sunny,0.97,82.9
